ID#;dialog
800001;It's beautiful here.
800002;It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least.
800003;Muggles think these keep evil away. But they're wrong...
800004;I need to talk to the goblin.
800005;How are you?
800006;Alive.
800007;You probably don't remember --
800008;Yes.
800009;And brought me here.
800010;You are a very unusual wizard.
800011;Why did you leave Gringotts?
800012;Soon the Death Eaters will control it. That was unacceptable to me.
800013;Then you're on our side.
800014;This is a wizard's war. I take no side.
800015;It is impossible.
800016;Alone, yes. With you, no.
800017;How did you come by this sword?
800018;It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?
800019;It's complicated.
800020;The sword presented itself to us in a moment of need. We didn't steal it.
800021;There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer.
800022;And she never suspected?
800023;The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.
800024;Who put it there? The fake.
800025;It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts.
800026;And in Madam Lestrange's vault as well?
800027;Perhaps.
800028;I have no interest in gold.
800029;Then what? The goblin twists the curl at his chin... then his eyes
800030;That is my price.
800031;I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?
800032;Harry, are you thinking there's a Horcrux in Bellatrix's vault?
800033;She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him.
800034;And if we find one? How're we supposed to destroy it if we've given Griphook the sword?
800035;I'm still working on that part.
800036;He's too weak.
800037;Forgive me if I don't get up.
800038;Mr. Ollivander, I need to ask you a few questions.
800039;Anything, m'boy, anything.
800040;Can you identify these, sir?
800041;Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange.
800042;And this?
800043;Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy.
800044;Was? Isn't it still?
800045;Perhaps not -- if you won it from him. I sense its allegiance has changed.
800046;The wand chooses the wizard, Mr. Potter. That much has always been clear to those of us who have studied wandlore.
800047;What do you know about the Deathly Hallows, sir?
800048;There are rumored to be three: The Elder Wand, the Resurrection Stone and the Invisibility Cloak. It is said that to possess them all is to make oneself the Master of Death. But few truly believe such objects exist --
800049;But you, sir? Do you believe they exist?
800050;You're lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.
800051;He tortured me! Besides, I conveyed only rumors. There's no guarantee he will find it --
800052;He has found it, sir.
800053;That's all, sir. We'll leave you to get some rest now.
800054;He's after you, Mr. Potter. If it's true, what you say, that he has the Elder Wand, I'm afraid you really don't stand a chance.
800055;Then I guess I'll just have to kill him before he finds me, sir.
800056;You're sure it's hers?
800057;Positive. Harry turns to the two wands on the table -- the ones he showed Ollivander -- and extends the longest to Hermione.
800058;I reckon you should take this then.
800059;You heard Ollivander. It's Harry's now.
800060;But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...
800061;If I can hold it, you can.
800062;How will we know what it is when we get in there? After all, a Horcrux can be anything.
800063;I'll know. I can't explain. It's like...
800064;That's a bit scary.
800065;It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --
800066;No. I just know. When one's near.
800067;This is the closest I could find to what you described, Hermione.
800068;It's perfect. Thank you, Fleur.
800069;You're leaving, aren't you.
800070;In the morning.
800071;And Griphook?
800072;He'll be leaving too.
800073;Listen, I don't know what you're up to, but I know goblins. If you've struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don't... he won't be forgiving.
800074;The sky has lost a star.
800075;My father used to say that when a child died. She looks up, smiles.
800076;Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --
800077;I know you understand why my father did what he did, Harry. That's why we don't need to talk about it.
800078;Hogwarts?
800079;It's not the place you left, you
800080;Neither am I.
800081;Always good value. I'll miss her.
800082;What d'you think?
800083;Wouldn't know you if I didn't know you.
800084;You want to tell me what that is?
800085;Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.
800086;You mean he could see you?
800087;Something like that. I don't know. He died before I ever got to use it. The thing is...
800088;Go on.
800089;You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore.
800090;Bloody hell... that's a sight.
800091;Well, how do I look?
800092;Hideous.
800093;Oh dear, I missed a spot, didn't I? Hold still...
800094;Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --
800095;Never mind. I'm good.  That is you in there, isn't it?
800096;You can give that to Hermione to hold, all right, Griphook?
800097;Madam Lestrange.
800098;Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!
800099;Hey. Easy.
800100;She gives us away and we might as well use that sword to slit our own throats. Understand?
800101;He's right. I was being stupid.
800102;C'mon. Let's do it.
800103;Identification.
800104;I wish to enter my vault.
800105;I see. Very well. Excuse me, won't you?
800106;I don't like to be kept waiting.
800107;Next.
800108;He's with me.
800109;They know!
800110;What do you mean?
800111;They know she's an imposter! They've been warned!
800112;Madam Lestrange. Would you mind presenting your wand?
800113;And why should I do that?
800114;Harry, what do we do? Harry...?
800115;It's the bank's policy. I'm sure you understand, given the current climate --
800116;No, I most certainly do not understand --
800117;I'm afraid I must insist.
800118;Imperio.
800119;Very well, Madam Lestrange. If you will follow me.
800120;But... Bogrod, there have been special instructions regarding the Lestrange vault.
800121;I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.
800122;Yes, sir, but our instructions are very specific --
800123;Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!
800124;Madam, if you will, I will escort you myself.
800125;How long before they come after us?
800126;What's that? Up ahead.
800127;I should have known --
800128;What is that, Griphook?
800129;Griphook! What is that!
800130;Well done. Hey.
800131;The Thief's Downfall. Washes away all enchantments. Can be deadly.
800132;You don't say.  Just out of interest... is there any other way out of here?
800133;No.
800134;What the devil are you all doing down here!
800135;We need him!
800136;Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --
800137;Imperio!
800138;Well done.
800139;No. It's not possible...
800140;Bloody hell. That's a Welsh Green.
800141;It looks like it's been down here forever.
800142;Go on.
800143;It's been trained to expect pain when it hears the noise.
800144;That's barbaric. I...
800145;We'll only have a few seconds. In other words... they'll be no do-
800146;Ready, Bogrod?
800147;Hm? Oh. Yes. Of course.
800148;Lumos !
800149;Lumos !
800150;Lumos !
800151;Blimey...
800152;Look.
800153;No wonder Bellatrix thought it was real.
800154;Is it here, Harry? Can you feel anything?
800155;It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.
800156;Ron, your foot!
800157;We'll be crushed! Hurry!
800158;That's it. Up there.
800159;How're we going to reach it?
800160;Give me the sword! The real one.
800161;Keep going!
800162;Harry! Behind you!
800163;The cup!
800164;In here!
800165;We have a deal, Griphook.
800166;I said I'd get you in. I never said anything about getting you out.
800167;Griphook! Griphook!
800168;Thieves! Help! Thieves!
800169;Foul little git. Least we've got Bogrod.
800170;That's unfortunate.
800171;We can't just stand here! Who's got an idea?
800172;You're asking us? You're the brilliant one.
800173;I've got something. But it's mad.
800174;Relashio!
800175;That's your idea?
800176;Come on!
800177;It doesn't realize it's free!
800178;That was brilliant! BRILLIANT!
800179;Bloody hell.
800180;We're dropping!
800181;I say we jump!
800182;When?
800183;The boy has discovered our secret, Nagini. We must find out just how much he knows. We must return to our hiding places and see if the others are safe.
800184;He knows.
800185;How is it you --
800186;I saw him.
800187;You let him in! Harry, you can't --
800188;I can't always help it, Hermione!
800189;Never mind! What did you see?
800190;He's angry. But he's scared too. He's going to make sure the other Horcruxes are safe.
800191;What happens when he finds out four are gone?
800192;I reckon he'll do anything to stop us from finding the rest. There's more: one of them's at Hogwarts.
800193;What?
800194;What?
800195;You saw it?
800196;Tonight? But we have to plan. We have to figure out what --
800197;Honestly, Hermione, when have any of our plans actually worked? We plan, we get there and all hell breaks loose.
800198;'Fraid he's right. One problem: Snape's Headmaster now. We can't just walk in the front door.
800199;We'll go to Hogsmeade. To Honeydukes. Take the secret passage in the cellar.
800200;There's something wrong with him. In the past, I could always follow his thoughts. Now everything feels disconnected.
800201;Maybe it's because of the Horcruxes. Maybe he's growing weaker. Maybe he's dying.
800202;No. It's more like he's wounded. If anything, he feels more
800203;They were ready for us.
800204;We know you're here, Potter. There's no getting away.
800205;Perhaps you need some convincing.
800206;What's he mean by that?
800207;No, you'll give us away.
800208;Expecto Patronum!
800209;In here, Potter.
800210;Did you get a look at him! Fora second I thought it was --
800211;I know.
800212;Harry! I can see you! In here!
800213;You bloody fools! What were you thinking coming here? Do you have any idea how dangerous it is --
800214;You're Aberforth.
800215;Dumbledore's brother. It's you I've been seeing -- here. It's
800216;Where've you left him?
800217;He's dead.
800218;Sorry to hear it. I liked that elf.
800219;Mundungus Fletcher, 'bout a year ago.
800220;Dung had no right selling you that. It belonged to --
800221;Sirius. Albus told me. He also told me that you'd likely be hacked off if you ever found out I had it. But ask yourself where you'd be if I didn't.
800222;Right then. Reckon you're hungry. Let's get you fed, then think of the best way to get you out of here.
800223;Do you hear much from the others? From the Order?
800224;The Order is finished. You-Know- Who's won. Anyone who says otherwise is kidding themselves.
800225;We need to get into Hogwarts. Dumbledore gave us a job to do.
800226;Did he now? Nice job? Easy?
800227;We've been hunting Horcruxes. We think the last one's in the school. But we'll need your help getting in.
800228;If we can find it and kill it, then we kill him, and then we can end this war once and for all. We need to get into Hogwarts tonight.
800229;It's not a job my brother's given you, it's a suicide mission. Do yourself a favor boy. Go home. Live a little longer.
800230;Dumbledore trusted me, to see this through.
800231;Why should he...
800232;Keep secrets? You tell me.
800233;I only care about the Dumbledore I knew. I trusted him.
800234;Did you now? And why is that?
800235;I had no reason not to —-
800236;That's a boy's answer. A boy who goes chasing Horcruxes on the word of a man who won't even tell him where to start. You're lying. Not just to me, which doesn't matter, but to yourself as well. That's what a fool does.
800237;You're drunk.
800238;You don't strike me as a fool, Mr. Potter. So I'll ask you again. There must be a reason. Why do you trust anything my brother ever said to you? Why?
800239;You know what to do...
800240;Where've you sent her?
800241;You'll see soon enough.
800242;That's Ariana, isn't it? Your sister. She's beautiful.
800243;She'll always be beautiful.
800244;She died very young, didn't she.
800245;My brother sacrificed many things, Mr. Potter, in his journey to find power, including her. She was devoted to him -- he gave her everything, but time.
800246;Mr. Dumbledore... thank you.
800247;Did save our lives twice. Kept an eye on us in that mirror. That doesn't seem like someone who's given up, does it?
800248;She's coming back! And she's got someone with her!
800249;Who's that with her? Bloody hell...
800250;I knew you'd come! I told them alii! Harry Potter would never abandon Hogwarts!
800251;Neville, you look...
800252;Like hell? I reckon. This is nothing. Seamus is worse. You'll see. Hermione! Ron!
800253;Hey, Ab. There might be a couple more people on the way.
800254;Well? Ready?
800255;I don't remember this being on the Marauder's Map.
800256;That's because it never existed till now. The seven secret passages were sealed off before the start of the year. This is the only way in or out now. The grounds are crawling with Death Eaters and Dementors.
800257;How bad is it, Neville? With Snape as Headmaster.
800258;Hardly ever see him. It's the Carrows you have to watch out for.
800259;The Carrows?
800260;Brother and sister. They're in charge of discipline. Like punishment, the Carrows.
800261;They did that to you? But why?
800262;Today's Dark Arts lesson had us practicing the Cruciatus Curse. On First Years. I refused. Hogwarts has changed.
800263;Aw, c'mon. Don't be grim. We're all used to it by now. And the thing is, it helps when people stand up, gives everyone hope. I used to notice that when you did it, Harry. C'mon, we're almost there.
800264;Let's have a bit of fun, shall we?  Hey! Listen up, you lot! I've brought you a surprise!
800265;Blimey.
800266;Get the word out to Remus and the others that Harry's back.
800267;River, DA calling. Do you read? We have a new weather report: Lightning has struck. I repeat, lightning has struck...
800268;Okay, okay! Stand down! lLet's not kill them before You-Know-Who gets the chance!
