ID#;dialog
700120;Can't do it, 'arry.  My job's ter get you where we're goin' safe 'n sound -- Mad-Eye's orders!
700121;What was that?
700122;Dragon fire!
700123;That's him!  The real one!
700124;Hol' tight, 'arry!  We've got ter get yeh out of here!
700125;Hagrid... HAGRID...!
700126;Avada...
700127;Harry!  Hagrid!  What happened?! Have you seen the others?
700128;Is no one back yet?
700129;They were on us from the star', Molly -- the Death Eaters.  And You-Know-Who as well.
700130;Well, thank goodness you two are all right.
700131;Haven't go' any brandy, have yeh, Molly?  Fer medicinal purposes?
700132;Ron and Tonks should've already been back.  Dad and Fred as well.
700133;Oh my God!  George!
700134;The house!  Quickly!
700135;My boy!  My darling boy!  What've they done to you?!
700136;Remus!  What're you doing!
700137;What creature sat in the corner the first time that Harry Potter visited my office at Hogwarts!
700138;Are you mad...?
700139;What Creature!
700140;A grindylow!
700141;We've been betrayed.  Voldemort knew you were being moved tonight. I had to make sure you weren't an imposter.
700142;Who did this to him?
700143;Snape. He'll be fine, Molly.  But that's Dark Magic.  The damage is done.
700144;Someone else is back.
700145;The last words Albus Dumbledore spoke to the pair of us?
700146;'Harry is the best hope we have. Trust him.'
700147;What gave you away?
700148;Hedwig -- I think.  She was trying to protect me --
700149;Hey ya -- Well... thanks.
700150;Deserves that.  Brilliant, he was. Wouldn't be standing here without him.
700151;Really?
700152;Always the tone of surprise.
700153;Are we the last?  Where's George?
700154;Remus.  Where's my son?
700155;How do you feel, Georgie?
700156;Saint-like.
700157;Come again?
700158;Saint-like... You see, I'm holy. Holey, Fred, geddit?
700159;With the whole wide world of ear- related humor at your disposal, you go for holey?  Pathetic.
700160;Reckon I'm still better-looking than you.  Better-looking than Bill, that's for sure.
700161;Mad-Eye's dead.
700162;Mundungus took one look at Voldemort and Disapparated.
700163;Mad-Eye reckoned You-Know-Who would expect the real Harry to be with the most skilled Auror.  He knew he'd be in the most danger.
700164;It doesn't explain how they knew we were moving Harry tonight.
700165;Wha'?  One of us?  Tha's mad.  I'd wager me life it wasn' none of you lot.  An' if it was me I'd kno', wouldn' I?  Talk in me sleep on occasion, I'll admit, but there's only Fang aroun' ter hear an' mostly it's gibberish an' besides I'd cut me tongue out 'fore 'd betray 'arry e'en in me dreams --
700166;Wha's so funny!
700167;I trust you with my life, Hagrid. I trust everyone in this room. Understood?
700168;'Ear, 'ear.
700169;Better.
700170;No!  No!  I believed a different wand would work, I swear!
700171;Then explain this!
700172;But it makes no sense...
700173;Perhaps our friend's loyalties lie elsewhere, Wormtail.
700174;No!  There must be a way!  I'll think of something else!
700175;I hope so, Ollivander, for your sake.  I won't be so forgiving next time...
700176;Going somewhere?
700177;No one else is going to die.  Not for me.
700178;For you?  You think Madeye died for you?  You think George took that curse for you?  You may be the Chosen One, mate, but this is a whole lot bigger than that.
700179;Come with me.  Now.
700180;And leave Hermione?  Are you mad? We wouldn't last two days without her.
700181;Don't tell her I said that. Besides, you've still got the Trace on you.  And there's the wedding...
700182;Wedding?
700183;Bill and Fleur.  Mum's been planning it for months.  Only thing that's kept her sane, I reckon.  She'll kill me if I miss it.  Kill you too.  Rather go face to face with You-Know-Who if I'm honest.
700184;I don't care about a bloody wedding -- no matter whose it is. I have to start searching for the Horcruxes.  It's the only chance we have to beat him.  And the longer we wait the stronger he gets.
700185;Tonight's not the night, mate. You'd only be doing him a favor.
700186;Do you think he knows?
700187;I mean, they're bits of his soul, the Horcruxes.  Bits of him.  When Dumbledore destroyed the ring and you destroyed Tom Riddle's diary all those years ago -- he must've felt something right?
700188;What I'm saying is, if we do this thing right, if we find the Horcruxes and begin to destroy them one by one...
700189;Won't he know he's being hunted?
700190;All together now!
700191;One.  Two.  Three!
700192;Were you going to tell me?
700193;Yes.
700194;And Ron and Hermione.  They'll not be going back to Hogwarts either?
700195;I see.
700196;Dumbledore didn't want anyone to know what it is we're doing.  If I tell you, I'd be betraying him.
700197;Zip me up, will you.
700198;Seems silly, doesn't it?  A wedding.  Given everything that's going on.
700199;Maybe that's the best reason to have it.  Because of everything that's going on.
700200;Morning.
700201;How's it look on your end, boys?
700202;Brilliant!
700203;Bloody hell, what's the Minister of Magic doing here?
700204;Dunno.  But something tells me he didn't come to give away the bride.
700205;To what do we owe the pleasure, Minister?
700206;I think we both know the answer to that question, Mr. Potter.
700207;And this would be...?
700208;Don't be coy, Mr. Potter.  Mr. Weasley.  Would you say you were close to your former Headmaster?
700209;Dumbledore?  And me?  I dunno. I reckon I was just another Weasley to him.  He was always polite --
700210;And you, Miss Granger?  How would you characterize your relationship?
700211;We were friendly, not close like Harry, but --
700212;What's this all about?
700213;This.  Despite the fact that neither of your friends appear to have been particularly close to their recently deceased Headmaster, he saw fit to remember them in his will.  Now why do you suppose that would be?
700214;No idea.
700215;Come now, you don't expect me to believe...
700216;'Herein is set forth the Last Will and Testament of Albus Percival Wulfric Brian Dumbledore.  First, to Ronald Bilius Weasley, I leave my Deluminator, a device of my own making, in the hope that -- when things seem most dark -- it will show him the light.'
700217;Dumbledore left this?  For me? Brilliant.  Er -- what is it?
700218;Wicked.
700219;'To Miss Hermione Jean Granger, I leave my copy of The Tales of Beedle the Bard, in the hope that she will find it entertaining and instructive.'
700220;Mum used to read me those!  The Wizard and the Hopping Pot, Babbitty Rabbity and her Cackling Stump...
700221;Oh, c'mon!  Beedle's stories are famous!  Babbity Rabbitty? No...?
700222;'To Harry James Potter, I leave the Snitch he caught in his first Quidditch match at Hogwarts, as a reminder of the rewards of perseverance and skill.
700223;That's it then?
700224;Not quite.  Dumbledore left you a second bequest:  The Sword of Godric Gryffindor.  Unfortunately, the Sword of Gryffindor was not Dumbledore's to give away.  As an important historical artifact, it belongs...
700225;To Harry!  It belongs to Harry! It chose him!  It came to him in the Chamber of Secrets when he most needed it!
700226;The sword may present itself to any worthy Gryffindor, Miss Granger.  That does not make it that wizard's property.  And in any event the current whereabouts of the sword are unknown.
700227;Excuse me?
700228;The sword is missing. I won't pretend to be your friend, Mr. Potter.  But I assure you I'm not your enemy.
700229;You'll forgive me, Minister.  But it's a little hard to tell the difference these days.
700230;Dumbledore said something very similar the last time we spoke.
700231;Where is your guard, sir?
700232;I came alone.  I don't really need them anymore...
700233;We want you to be the godfather.
700234;You mean -- But that's brilliant -- I... don't know what to say.
700235;Say yes.
700236;Hello, Harry!
700237;Oh, I've interrupted a deep thought, haven't I?  I can see it growing smaller in your eyes.
700238;No, 'course not.  How are you, Luna?
700239;Very well.  I was bitten by a garden gnome only moments ago.
700240;Gnome saliva is enormously beneficial!  Xenophilius Lovegood. We live just over the hill!
700241;Nice to meet you, sir.
700242;I trust you know, Mr. Potter, that we at The Quibbler, unlike those toadies at the Daily Prophet, fully supported Dumbledore during his lifetime and in his death support you just as fully.
700243;Come, Daddy.  Harry doesn't want to talk to us right now.  He's just too nice to say so.
700244;Sir?  May I sit down?
700245;Mr. Potter!  By all means!
